id,VaR
0,-0.020890381
1,-0.192568241
2,0.043186067
3,0.064027662
4,-0.047802225
5,0.065099585
6,0.025216088
7,0.091681917
8,0.07326115
9,0.037869452
10,-0.149648965
11,-0.008005949
12,0.046759612
13,-0.025487903
14,0.014467972
15,0.060980663
16,0.03399005
17,0.009689044
18,-0.072870088
19,-0.259552745
20,0.084582762
21,0.062295811
22,-0.053810198
23,-0.083175789
24,0.057580918
25,0.046525975
26,-0.027479918
27,-0.080764952
28,0.005962879
29,-0.033688445
30,0.036915899
31,0.032843451
32,0.023938742
33,0.153543792
34,0.045294873
35,0.02218803
36,0.009796871
37,0.066610971
38,0.026548618
39,0.177085441
40,0.028552676
41,0.138175253
42,0.081181687
43,0.050550713
44,0.094516896
45,0.100602932
46,0.024346811
47,0.036417603
48,-0.497282346
49,-0.019058462
50,0.04000545
51,-0.035363729
52,0.036957944
53,0.650418982
54,-0.126706049
55,0.062591202
56,-0.068863227
57,0.033668766
58,0.055008006
59,-0.136885272
60,0.037357219
61,0.029472529
62,0.085280776
63,0.088909001
64,0.027404865
65,0.035325004
66,0.00503093
67,-0.024144262
68,-0.064305397
69,0.005571535
70,0.040496003
71,-0.058489258
72,-0.010834308
73,0.033254667
74,-0.101474133
75,-0.000437448
76,-0.012747575
77,0.056254437
78,-0.195359026
79,-0.002585872
80,0.02334737
81,0.023910632
82,0.036939959
83,0.01961672
84,-0.033747534
85,-0.009860277
86,0.145434189
87,-0.027083228
88,-0.088499756
89,0.014229368
90,0.060990546
91,0.01154014
92,-0.007918703
93,0.016562432
94,-0.004584818
95,-0.029463237
96,-0.046905404
97,-0.137266438
98,0.124797657
99,-0.030549643
100,-0.041815527
101,-0.274375933
102,0.013278663
103,0.123704133
104,-0.122535529
105,0.092439859
106,0.033443893
107,0.058151168
108,0.054820454
109,-0.002803651
110,-0.293562836
111,-0.036404756
112,0.066662529
113,-0.101185503
114,-0.082243566
115,0.053001319
116,0.022190019
117,0.007036037
118,-0.124061281
119,-0.42901656
120,0.017118032
121,-0.006028166
122,-0.044015063
123,-0.145502399
124,0.099792285
125,0.010890212
126,-0.08135824
127,-0.059049207
128,-0.014821432
129,-0.079403422
130,-0.025334686
131,-0.03543943
132,-0.017132815
133,0.120626536
134,0.042163472
135,0.053272125
136,0.061837654
137,0.020714763
138,-0.029928495
139,0.040239133
140,0.031657447
141,0.087128852
142,0.059245308
143,-0.008540208
144,0.12145382
145,0.024059574
146,-0.023508829
147,-0.017650883
148,-0.207539156
149,0.029437372
150,0.050544429
151,-0.121950621
152,-0.043191842
153,0.233033337
154,-0.215903297
155,-0.005862987
156,-0.008335087
157,-0.005133026
158,0.124703284
159,-0.0802802
160,0.029413221
161,-0.024229432
162,0.013178786
163,-0.041494535
164,-0.09069425
165,-0.029181173
166,-0.01089306
167,-0.129827033
168,-0.034428223
169,-0.005469948
170,-0.0140976
171,-0.11383531
172,-0.077228148
173,0.018133501
174,-0.053358887
175,-0.046563536
176,-0.133163668
177,0.009070667
178,-0.202188174
179,-0.055410975
180,-0.085724858
181,0.067062585
182,0.016995364
183,0.006700534
184,-0.132957968
185,-0.033010046
186,-0.029754354
187,-0.076880891
188,-0.177430835
189,-0.117336351
190,-0.017810438
191,-0.034170291
192,0.028661612
193,-0.111668006
194,-0.125857313
195,-0.030053329
196,-0.079982862
197,-0.078739833
198,0.0891662
199,0.030416394
200,0.007392319
201,0.145436099
202,-0.026942266
203,-0.249744531
204,0.059213719
205,-0.046817881
206,-0.117108308
207,-0.10546857
208,-0.100429805
209,0.005924131
210,0.128010852
211,-0.013888866
212,-0.021199045
213,0.087450141
214,0.054175614
215,-0.076647673
216,-0.098248625
217,-0.080407773
218,0.089078137
219,0.235133253
220,-0.101151518
221,0.001490876
222,-0.139215585
223,0.089674007
224,-0.172082814
225,-0.023386559
226,0.050691201
227,0.071659346
228,-0.039248649
229,0.136032678
230,0.022696171
231,0.02679465
232,-0.050292322
233,-0.128553892
234,-0.066714796
235,-0.033454444
236,-0.209645557
237,-0.108383756
238,0.078550895
239,0.10970004
240,0.00788085
241,-0.002798214
242,-0.128585086
243,-0.027682279
244,-0.183630918
245,-0.068571285
246,0.030648506
247,-0.030313216
248,0.039453569
249,-0.127722915
250,-0.032116702
251,0.148113133
252,-0.034732351
253,-0.365636413
254,0.041697323
255,-0.008760943
256,-0.023040177
257,-0.031296936
258,-0.103386589
259,-0.026847128
260,-0.089941892
261,-0.001063906
262,-0.024852916
263,-0.009115926
264,0.091400105
265,-0.044497153
266,-0.029704746
267,-0.008925535
268,-0.030043807
269,0.002103761
270,-0.145828867
271,-0.010846076
272,0.004481509
273,-0.019012079
274,-0.068875073
275,-0.023983233
276,0.1713051
277,0.04971689
278,0.069888629
279,0.05280413
280,0.02389283
281,-0.143949579
282,-0.139806008
283,-0.108201902
284,0.15074423
285,-0.042790435
286,-0.092454532
287,0.09990222
288,0.12720106
289,0.00249835
290,-0.071109167
291,0.093126664
292,0.006910071
293,0.044832487
294,0.072402047
295,-0.032443056
296,-0.011500208
297,-0.003859179
298,-0.009709492
299,-0.164165116
